6850,226,Oldale 2
6851,227,Oldale 3
2070,228,Yuro 1
2071,229,Yuro 2
2073,230,Wario
2072,231,Waiyo
2074,232,Karamui Station 1
6837,233,Karamui Station 2
2075,234,Noruwai
2076,235,Boisamaru 1
2077,236,Boisamaru 2
2078,237,Yogoromaru
2079,238,Dibe 1
2080,239,Dibe 2 (Sogo)
2081,240,Negabo
2082,241,Tua 1
2083,242,Tua 2 (Tiliki)
2084,243,Masi
2085,244,Maina 1
2086,245,Hobe
2087,246,Noru
2088,247,Sola
2089,248,Dobu
2090,249,Kalabi
2091,250,Bomai
2092,251,Unane
2093,252,Suruka (Kapi)
2095,254,Haia
2110,255,Suabegan
2112,256,Dayani
2113,257,Goroba
2114,258,Aina
2115,259,Perwi
2116,260,Gomiri
2117,261,Yoba-Eri
2118,262,Mogiagi
2119,263,Morinl/Kori
2120,264,Yobakul
2121,265,Waido
2122,266,Tabaikul
2123,267,Koble/Balmil
2124,268,Tabai
2125,269,Yuribol
2126,270,Mirima
2127,271,Bori
2128,272,Mulugra
2129,273,Mankon
2130,274,Kama
2131,275,Gaima
2132,276,Sua
2096,277,Degemane
2097,278,Awma
2098,279,Gaimo
2099,280,Holu
2100,281,Oru
2101,282,Monowari
2102,283,Kora
2103,284,Gerema
2104,285,Hopum
2105,286,Yuwai
2106,287,Apuri
2107,288,Kukama
2108,289,Waura
6876,290,Dage Mitne 1
6775,291,Dage Mitne 2
6776,292,Dage Mitne 3
6777,293,Dage Yogombo 1
6778,294,Dage Yogombo 2
6779,295,Kamaneku 1
6876,296,lok
6781,297,Siku
6782,298,Pagau 1
6783,299," PAGAU (2)"
6784,300,Pagau/Simbaiku
6785,301,Pagau 3
6786,302,Pagau 4
6787,303,Graiku 1
6788,304,Graiku 2
6789,305,Graiku 3
6790,306,Bindiku
6791,307,Damba
6792,308,Numaikane
6793,309,Dage Yogombo
6794,310,Dage Mitna 4
6795,311,Kamaneku-Siambugla
3083,312,Nogar
3084,313,Nogar
3085,314,Kamataru
3086,315,Kendine
3087,316,Gagl-Dimbinyaudo
6824,317,Dimbinyaundo
3088,318,Duglgambagl
3089,319,Kaglma
3090,320,Waingar
3091,321,Mondadrugl
3092,322,Konbi
6823,323,Kambu
3093,324,Gena/Yogombo
2145,325,Kup Rest House
2146,326,Gamar & Warabegua
2147,327,Wara Begua (Yuri)
2148,328,Kumai-Deingeku
2149,329,Kumai-Kindiimgapum
2150,330,Gurumugl
2151,331,Yuagle
6826,332,Bii
2152,333,Guruwal
6825,334,Guruwal
2152,335,Bandi 2
2133,336,Dawage
6828,337,Kimagl
6829,338,Kamagl
2134,339,Siku
6831,340,Pagau
6833,341,Waghi
3102,349,BINANUMUTO
3102,350,EKETAMEKU
3102,351,SAMATOKA
3102,352,NIPIAMOKA
3102,353,SAMANUKA
3102,354,LUHIYAKUKA
3102,355,LATEMEKUKA
3102,356,YOHOUMUKA
3102,357,HUMILAVEKA
3102,358,KOSAYUFA NO. 2
3102,359,GOBIHAKA PLTN
3102,360,KOMUNIVE
3102,361,MEKENAGUKA
3102,362,MAPUKA
3102,364,GOMTO
3102,365,LAHI
3102,366,ULAKUMEKUKA
3103,367,GIMISAVE NO. 1
3103,368,MAPIRINANOSAU
3103,369,PIMOIGA
3103,370,GIMIYUHA
3103,371,REMBINA
3103,372,SILIMUGORALO
3103,373,ANGIA
3103,374,ERES
3103,375,GAHAREHENDA
3103,376,GARANARO
3103,377,GEMBARO
3103,378,GEPAROKA
3103,379,GENERUWEKA
3103,380,GEREMIAKA
3103,381,GETORUKA
3103,382,GIMUKA
3103,383,GUHINOSA
3103,384,GORAROSAWARO
3103,385,GUNANGI
3103,386,KAPIRUKA
3103,387,MURITO
3103,388,NIPUKA
3103,389,SIHARO
3103,390,SIMIGORARO
3103,391,TUPAUKA
3103,392,USIOTO
3103,393,WONUWONUKU
3103,394,YAOWAKA
3103,395,ROHEKA
3103,396,HAGERETO
3103,397,IHANUMUKA
3103,398,MATMATLO
3103,399,IYASEGOLALO
3103,400,LULUWAUKA
3103,401,GOYEPEUKA
3103,402,AHOKA
3103,403,GUTULO
3103,404,ISAMETOKA
3103,405,IKISAUKA
3103,406,KETUHARO
3103,407,KOFINUMUKU
3103,408,LAPANOSA
3103,409,LISAKU
3103,410,MAHEYAGA
3103,411,MAMBUBLOCK
3103,412,PINS BLOCK
3103,413,SAPSAP
3103,414,ASARO PRIMARY SCHOOL
3103,415,ASAROKA HIGH SCHOOL
3103,416,ASARO STATION
3103,417,GIRE PLANTATION
3103,418,YAPOTOKA
3103,419,IYASEGORARO
3104,420,INGISO
3105,421,GIZEHONDA
3105,422,NAHOMA NO. 1
3105,423,NAHOMA NO. 2
3105,424,SAMONGA
3105,426,NOLILIGETO
3105,427,GARANARO
3105,428,KOFINGEYUHO
3105,429,KASENA NO. 1
3105,430,ROKA PLANTATION
3107,431,ASAROUFA NO. 1
3107,432,ASAROUFA NO. 2
3107,433,KEFEUFA
3107,434,KOFENAUFA
3107,435,MESSEUFA
3107,436,Monive
3110,437,AMAIUFA NO. 1
3110,438,AMAIUFA NO. 2
3110,439,KONOMBUNDA 2
3110,440,KAMBIAGUWE
3113,441,GENDEGA
3113,442,MONONGA
3113,443,FOKU
3113,444,KOFEYAU
3113,445,WAZEMORA
3113,446,REMESERO
3113,447,NIMBIA
3113,448,KOFUNERO
3113,449,UVOKU
3114,450,DUKU
3094,455,MONONGA
3094,456,KORAPO
3094,457,RUAROX
3094,458,MANGIRO
3094,459,RONU
3094,460,LUNAME
3095,461,KENANGI
3096,462,RONGA
3098,468,KIANDO
3098,469,FIU
3098,470,Kemanido
3098,471,IMERO
3098,472,KEMABAU
3098,473,IYANUKA
3098,474,DAMUN
3098,475,KOMBEUMARO
3098,476,NOIRAU
3099,497,AFAINOKU
3099,498,KUTAFELO
3099,499,ABEDO
3099,500,FONUMUNAWA
3099,520,LULAPE
3099,521,NONAMBARO
3099,522,ATARERE
3099,523,KELI
3099,524,AIYE
3099,525,ANIGU
3099,526,KUIFAMO
3099,527,HELMUT
3099,528,KAMBARO
3099,529,FOMIYO
3099,530,AWBANINDO
3099,531,ONGOBIRAMOA
3099,532,NIMALELE
3099,537,LELEMIFIAU
3099,539,UMBANDO
3099,540,FOMIO
3099,541,ATARELO
3099,542,LURAPE
3099,544,HELMUTONGOBIRAMDA
3099,545,NEGEKUNDILO
3099,546,YOMOILALO
3099,547,UWURAKA
3099,548,MIKARAFALO
3099,549,KOMUNIPALA
3101,555,KESAIGU
3101,556,DAULO TOP NEGEHA
3101,557,GOREHUKA (MOMBAGU)
3101,558,ROWANDI
3101,559,LOLU
3101,560,LAKAUFA
3101,562,KINDINIWAIFO
3101,563,GIMIYUFA
3101,564,LUMUFA
3101,565,LAFAUFA
3101,567,KUMO
3101,569,MOMBAGU
3095,570,KONINGI NO. 1
3095,571,WENAMO
3095,572,FATAU
3096,573,KERAKO NOKORARO
3096,574,KORIRO
3096,576,LAS WARA
3096,577,MANDO
3096,578,MUTE
3096,579,KERE
3096,580,HOMONO MONORO
3096,583,KIAGO
3096,584,KERUPANO
3096,585,HAKUMAKU MONARO
3096,586,HOYAMONARO
3096,587,KAMBIYAGU
3117,588,Komiufa
3118,589,KAMI 1
3118,590,SEIGU
3118,591,FANIUFA
3119,592,KAMA
3119,593,ZAGETEGA
3119,594,VENOPAUKA
3119,595,ZAGOMAZUHA
3119,597,GEPAHINA
3119,598,JACKSON (FIVE
3119,599,LUSAROKA
3119,600,VANOPAUKA
3119,601,SIPIGA
3119,602,GEHAMOZUHA
3119,603,NAGAMIUFA (2)
3119,604,GOUKUKA & IKISAUK
3119,605,APOGA
3119,606,KOMEUVE
3119,607,AGEZAGA
3119,608,JOTUHAURA
3119,609,NAGAMIUFA (KAMA)
3119,610,GOMEGUVE
3119,611,OZAHUZA
3119,613,NAGAMIUFA (1)
3119,615,NEREPAGA & ATAX
3119,618,BLACK KONA
3119,619,KAMA (WARIZOTOKA
3119,620,JACK BUSH
3119,621,GEPAHINA (APOGA)
3119,622,PANGIA BLOCK
3119,623,GOMEGUVE (KAMA)
3119,624,AGE ZAGA
3120,625,EKEPOKA
3120,626,KAFINA
3120,627,KAFANA
3120,628,FELEUFA
3120,629,LAHAMONA
3120,630,NAMAUKAI
3120,631,NAMAUKA
3120,632,LAPEGU
3120,633,LAPIGU
3121,634,KOSAYUFA
3121,635,KOTIYUFA
3121,636,ARINIPAYUFA
3121,637,IZAFOKA
3121,638,EMAGAVE
3121,639,KUREFEUKA
3121,640,KONOBIUF NO. 3
3121,641,MAKORIKA NEW CAMP
3122,644,UFETO
3122,645,MEGUSAYUFA
3122,646,KAMAYUFA
3122,647,SOGAYUFA
3122,648,SAMOGOYUFA - NOTOGANA
3122,649,ELEGAYUFA
3122,650,NOTOFANA (MAKIROKA)
3122,651,GOTEGEMAYUFA
3122,652,ARIKAYUFA
3122,653,EZAGAYUFA
3122,654,KOFIKA
3122,655,LIFETO (ELEGAYUFA)
