1,BOUGAINVILLE
2,CENTRAL
3,CHIMBU
4,EAST NEW BRITAIN
5,EAST SEPIK
6,EASTERN HIGHLANDS
7,ENGA
8,GULF
9,MADANG
10,MANUS
11,MILNE BAY
12,MOROBE
13,NATIONAL CAPITAL DISTRICT
14,NEW IRELAND
15,NORTHERN
16,SOUTHERN HIGHLANDS
17,WEST NEW BRITAIN
18,WEST SEPIK
19,WESTERN
20,WESTERN HIGHLANDS
21,HELA
22,JIWAKA
