17,214,RAPITOK NO. 3,7
17,215,RAPITOK NO. 4,8
17,216,RATAVUL,9
17,217,VUNAKABI,10
17,218,TANAKA,11
17,219,TAULIL NO. 1,12
17,220,TAULIL NO. 2,13
17,221,VUNADIDIR,14
17,222,BITAKAPUK NO. 1,15
17,223,BITAKAPUK NO. 2,16
17,224,TAGITAGI NO. 1,17
17,225,TAGITAGI NO. 2,18
17,226,WARIKI NO. 1,19
17,227,WARIKI NO. 2,20
17,228,WARIKI NO. 3,21
17,229,WARIKI NO. 4,22
17,230,VIVIRAN NO. 1,23
17,231,VIVIRAN NO. 2,24
17,232,VUNAKAUR,25
17,233,BAIE,26
17,234,PAPALABA,27
17,235,VUNARARERE,28
17,236,TAMANAIRIK NO. 1,29
17,237,TAMANAIRIK NO. 2,30
17,238,RABATA,31
18,239,TAVUI NO. 1,1
18,240,TAVUI NO. 2,2
18,241,BALADA,4
18,242,RATAVUL,3
18,243,TOGORO,18
18,244,TABUNA,19
18,245,KATAKATAI,20
18,246,VUNABAUR,6
18,247,WATWAT,7
18,248,LONDIP,21
18,249,GANAI,8
18,250,MARMAR,9
18,251,BILUR,11
18,252,KORAI,12
18,253,KAMAKAMAR,13
18,254,BIRAR,14
18,255,MAKURAPAU,15
18,256,RAINAU,16
18,257,MALAKUNA,17
18,258,ULAVEO,22
18,259,MENEBUNBUN,10
19,260,MAKADA/NAGAILA,1
19,261,MOLOT,2
19,262,MAREN,3
19,263,BUTLIVUAN,4
19,264,WAIRA,5
19,265,NABUAL,6
19,266,INOLO,7
19,267,KUMAINA,8
19,268,KABILOMO,9
19,269,URAKUKUR,10
19,270,KABABIAI,11
19,271,MUALIM,12
19,272,URIAN,13
19,273,PALIPAL,21
19,274,UTUAN,15
19,275,KARAWARA,16
20,276,KARAVIA,1
20,277,VUNAMAMI,2
20,278,BITAREBAREBE,3
20,279,VUNABALBAL,4
20,280,GUNANBA,5
20,281,TINGANAVUDU,6
20,282,MALAKUNA,7
20,283,ULAGUNAN,8
20,284,LIVUAN,9
20,285,RAMALE,10
20,286,BITAGALIP,11
20,287,KABAKAUL,12
20,288,TAKUBAR,13
20,289,PALNAKUAR,14
20,290,ULAULATAVA,15
20,291,VUNAPOPE,16
20,292,NGUNGUNA,17
20,293,GUNANUR,18
20,294,PALAVIRUA,19
21,298,BAROVON,4
21,299,RALUANA,5
21,300,IALAKUA,6
21,301,VUNATAGIA,7
21,302,RANGUINA,8
21,303,BITABAUR,9
21,304,VUNAMURMUR,10
21,306,LIVUAN,11
21,307,RALALAR,13
21,309,KUNAKUNAI,15
21,310,NGATUR,16
21,311,TINGANALOM,17
21,312,NANUK,18
21,313,BALANATAMAN,19
21,314,RAVAT,20
13,315,TALAKUA,17
22,317,MALAKUR,2
22,318,KERKERNENA,3
22,319,BAIEN(WEST),4
22,320,GALUE,5
22,321,MARMAR,6
22,322,POMIO,7
22,323,OLAIPUN,8
22,324,SALI,9
22,325,BOVALPUN,10
22,326,KALAKRU,11
22,327,PORA,12
22,328,TOKAI,13
22,329,MATONG,14
22,330,BUKA,15
22,331,PULPUL,16
22,332,PAKIA,17
22,333,MILE,18
22,334,MUKULU,19
22,335,MALVONI,20
22,336,MUELA,21
22,337,BAGO,22
22,338,PAKARAMAN,23
22,339,BIRIGI,24
22,340,BAGITAVE,25
22,341,KAPKENA,26
22,342,TUKI,27
22,343,LAKIRI,28
22,344,MARNU,29
22,345,MASUARI,30
22,346,MANIGUGULE,31
22,347,KAVALE,32
22,348,GELIO,33
23,349,LAMARAIN,1
23,350,LONG,2
23,351,HOYA,3
23,352,KAUKUM,4
23,353,MILIM,5
23,354,GUMA,6
23,355,KLAMPUN,7
23,356,SAMPUN,8
23,357,WAWAS,9
23,358,BAIN,10
23,359,RAOLMAN,11
24,360,MAKMAK,1
24,361,WAIPO,2
24,362,SIMI,3
24,363,TAVOLO,4
24,364,MELETONG,5
24,365,UVOL,6
24,366,EINAHELEI,7
24,367,RUACHANA,8
24,368,MININGA,9
24,369,MASO,10
24,370,ESLETENAE,11
24,371,MAINGE,12
24,372,ATU,13
24,373,HAUMAKIA,14
24,374,POIO,15
24,375,PILEMATANA,16
24,376,LAUSUS,17
24,377,KENMININGA,18
24,378,WARALE,19
25,379,RIEIT,1
25,380,ARABAM,2
25,381,MARANAGI,3
25,382,LEMENGI,4
25,383,SANBUM,5
25,384,MARAMBU,6
25,385,LAT,7
25,386,GAR,8
25,387,MERAI,9
25,388,ILI,10
25,389,KARONG,11
25,390,SUNAM,12
25,391,MARUNGA,13
25,392,KAVUDEMKI,14
25,393,TOL,15
26,394,GUGULENA,1
26,395,MALMAL,2
26,396,MANGINUNA,3
26,397,TOTONGPAL,4
26,398,KAITON,5
26,399,PUAPAL,6
26,400,ROWAN/MALO,7
26,401,POMAI/MU,8
26,402,PORO/SALEL,9
26,403,IRENA,10
26,404,KANGELONA,11
26,405,MAUNA,12
26,406,LAU,13
26,407,BAIRAMAN,14
26,408,TOLEL,15
26,409,MAITAO,16
26,410,SERENGUNA,17
26,411,PALIAVULU,18
26,412,VIOSOPUNA,19
26,413,POKAPUNA,20
26,414,BILI,21
26,415,PAKIA,22
26,416,OKEMPUNA,23
26,417,KAITOTO,24
26,418,MAPUNA,25
26,419,PELING,26
26,420,AONA,27
26,421,YAUYAU,28
26,422,KAIKOU,29
26,423,KINSENA,30
26,424,ULUTU,31
26,425,KERONGKORONA,32
26,426,SIVAONA,33
26,427,PEPENG,34
27,428,RATUNG,1
27,429,PILAPILA,2
27,430,KARAVIA,3
27,431,RATAVUL,4
27,432,VOLAVOLO,5
27,433,NONGA,6
27,434,TAVUI NO.1,7
27,435,TAVUI NO.2,8
27,436,TAVUI NO.3,9
27,437,MALAGUNA NO.1,10
27,438,MALAGUNA NO.2,11
27,439,MALAGUNA NO.3,12
27,440,IAWAKAKA,13
27,441,RAPOLO,14
27,444,TAVANA,17
27,445,VALAUR,18
27,446,NONGA BASE HOSPITAL,19
28,447,BAAI,1
28,448,NODUP,2
28,449,MATALAU,3
28,450,RAKUNAT,4
28,451,RABUANA,5
28,452,KORERE 1,6
28,453,KORERE 2,7
28,454,TALVAT,8
28,455,MATUPIT NO. 1,9
28,456,MATUPIT NO. 2,10
28,457,MATUPIT NO. 3,11
28,458,MATUPIT NO. 4,12
28,459,MATUPIT NO. 5,13
29,460,RABAUL 1,1
29,461,RABAUL 2,2
29,462,RABAUL 3,3
29,463,RABAUL 4,4
29,464,RABAUL 5,5
29,465,RABAUL 6,6
29,466,RABAUL 7,7
29,467,RABAUL 8,8
29,468,RABAUL 9,9
29,469,RABAUL 10,10
29,470,RABAUL 11,11
29,471,RABAUL 12,12
29,472,RABAUL 13,13
29,473,RABAUL 14,14
29,474,RABAUL 15,15
30,475,RAKIVAL,1
30,476,TARANATA,2
30,477,VALAUR,3
30,478,VUNABUK,4
30,479,VUNAKABAI,5
30,480,VUNAULAIAR,6
31,481,AUNA 1,1
31,482,ONNEI 1,2
31,483,AUNA ISLAND 1,3
31,485,ONNEI (2),5
32,487,MOUK,1
32,488,LIPAN,2
32,489,SONE,3
32,490,PORIOI,4
32,491,BUAIT,5
32,492,BAON,6
32,493,SOLANG,7
32,494,REI,8
32,495,LAKO,9
33,496,SALIEN,1
33,497,NIHO,2
33,498,KALI,3
33,499,MASO,4
33,500,MATAHAI,5
33,501,SALAPAI,6
33,502,LESSAU,7
33,503,HARENGAU,8
33,504,JOWAN 1,9
33,505,JOWAN 2,10
33,506,NYADA,11
33,507,LEVEI,12
33,508,SORI 2,13
33,509,SORI 1,14
34,510,MALALPANG,1
34,511,HORAN,2
34,512,POWAT,3
34,513,MARAMAN,4
34,514,LOPAHAN,5
34,515,NDRAKOT,6
34,516,LOWA,7
34,517,AHUS,8
34,518,YIRINGOU,9
34,519,BOWAT 1,10
34,520,LUNDRET,11
34,521,ROSSUM,12
34,522,DUNGOUMASIH,13
34,524,WARAMBEI,15
34,525,PITYLUH,16
35,527,SALASIA,1
35,528,LORENGAU EAST,2
36,529,LONIU,1
36,530,LOLAK,2
36,531,LOMBRUM,3
36,532,PAPITALAI,4
36,533,NARINGEL,5
36,534,RIURIU,6
36,535,SALAMEI SETTLEMENT,7
36,536,MOKARENG,8
37,537,N'DRAPITOU,1
37,538,SOHENERIU,2
37,539,KAPOU,3
37,540,BULIHAN,4
37,541,KARUN,5
37,542,SIRRAH,6
37,543,LAWES,7
37,544,NOHANG,8
37,545,KATIN,9
37,546,LOWAIYA,10
37,547,LAPAP,11
37,548,MALEH,12
37,549,MBUNAI,13
37,550,PERE 1,14
37,551,PERE 2,15
37,552,PACHAL,16
37,553,MACHAPARLOH,17
37,554,PATUSI,18
38,555,PATEKU,1
38,556,LAU,2
38,557,PIHON,3
38,558,LIOT,4
38,559,LUF,5
38,560,AMIK,6
39,561,M’BUKE/WHAL,1
39,562,BUNDRAHEI/SABONDRALIS,2
39,563,LIKUM,3
39,564,BABUN,4
39,565,BUTJOU,5
39,566,TIMOENAI,6
39,567,POHOWADEYAHA,7
39,568,JEKAL,8
39,569,PELI PATU,9
40,570,PONAM ISLAND,1
40,571,TULU 1,2
40,572,TULU 2,3
40,573,LAHAPAU,4
40,574,BUNDRALIS CATHOLIC MISSION,5
40,575,LEHEWA,6
40,576,SAHA,7
40,577,N’ DREHET,8
40,578,LIAP,9
40,579,DERIMBAT,10
40,580,ANDRA ISLAND,11
40,581,SOUH,12
40,582,MUNDRAU,13
40,583,PATLOK,14
40,584,MUNDRUPUDEU,15
40,585,PUNDRU,16
40,586,WAMANDRA,17
40,587,NDRUMUNUN,18
41,588,MOKARAH,1
41,589,HAHAI,2
41,590,TONG,3
41,591,NAUNA,4
41,592,POLOBULI,5
41,593,KULUO,6
41,594,PENCHAL,7
41,595,LENKAU,8
41,596,MOUKLEN,9
42,597,BUYANG,1
42,598,KAWALIAP,2
42,599,TINGOU,3
42,600,LONDRU,4
42,601,PITARIAT,5
42,602,TAWI,6
43,603,KAVIENG URBAN 13-68,1
43,604,KAVIENG URBAN 2/SECT.241,2
43,605,"KAVIENG URBAN 3/SECT 1, 17, 58, 73 &80",3
43,606,BAGAIL,4
43,607,KULANGIT,5
43,608,PABLIANG,6
44,609,TASKUL,1
44,610,PATIAGAGA,2
44,611,KONOMATALIK,3
44,612,UNGAKUM,4
44,613,TSOI,5
44,614,MOSUANG,6
44,615,PUAS,7
44,616,METERANKASING,8
44,617,NOIPUAS,9
44,618,SOSSON,10
44,619,TINGWON,11
44,620,UMBUKUL,12
44,621,BAUNGUNG,13
44,622,METESELEN,14
44,623,TIOPUTUK,15
44,624,LOVONGAI,16
44,625,METERANKANG,17
44,626,LUNGATANG,18
44,627,KULINGEI,19
45,628,TASITEL,1
45,629,MAGIEN,2
45,630,LOLIANG,3
45,631,PALAKAU,4
45,632,EMIRA,5
45,633,TENCH,6
46,634,ENANG,1
46,635,NONOVAUL,2
46,636,PANAPAI,3
46,637,KASELOK,4
46,638,BAGATARE,5
46,639,LOKONO,6
46,640,NGAVALUS,7
46,641,PARUAI,8
46,642,LEMAKOT,9
46,643,PANAMANA,10
46,644,MADINA,11
46,645,KAFKAF,12
46,646,NAMASALANG,13
46,647,BELIFU,14
46,648,PANGEIFUA,15
46,649,LAMUSMUS,16
46,650,LEON,17
46,651,LAPAI,18
47,652,WEILO,1
47,653,REI,2
47,654,KAMIANG,3
47,655,MORKON,4
47,656,KAMILAI,5
47,657,BAKUM,6
47,658,PUKUNMAL,7
47,659,MATKAMLAGIR,8
47,660,BERIOTAR,9
47,661,BAKOK,10
47,662,LAMBOM,11
47,663,LAMASSA,12
47,664,KABAMAN,13
47,665,KAIT,14
47,666,WATPI,15
47,667,TAMBAKAR,16
47,668,SIAMAN,17
48,669,PALABONG,1
48,670,KABANUT,2
48,671,MATAKAN,3
48,672,BURAU,4
48,673,RASIRIK,5
48,674,LABUR,6
48,675,LOLOBAR,7
48,676,KANAPIT,8
48,677,PIRE,9
48,678,NAMATANAI,10
48,679,NAMATANAI TOWN,11
48,680,SALIMUN,12
48,681,BISAPU,13
48,682,SOPAU,14
603,683,RATAVIS,1
603,684,HIBALING,2
603,685,HIMAU,4
603,686,NOKON,5
603,687,HIPAKAT,7
603,688,KEBENG,8
603,689,SENA,10
49,690,LONDOLOVIT,1
49,691,PUPUT,2
49,692,MATAKUES,3
49,693,LATAUL,4
49,694,KOMAT,5
49,695,PALIE,6
49,696,HURTOL,7
49,697,SAMO,8
49,698,LAMBOAR,9
49,699,KOSMAIUM,10
49,700,KUANIE,11
49,701,MALIE,12
49,702,MALAL,13
49,703,TON,14
49,704,MAHUR,15
50,705,SIMBERI,1
50,706,TATAU,2
50,707,DATAVA,3
50,708,MAPUA,4
50,709,WANG,5
50,710,TANDIS,6
50,711,LOSSU,7
50,712,KONOS,8
50,713,KIMADAN,9
50,714,LELET,10
50,715,DALOM,11
50,716,LEMERIS,12
50,717,BULU,13
50,718,KARU,14
50,719,KOMALU,15
50,720,KOMALAPUO,16
50,721,DAUN,17
50,722,MESSI,18
50,723,UGANA,19
50,724,LAMAU,20
50,725,PATLANGA,21
50,726,PANARAS,22
51,727,TAONSIP,1
51,728,FONLI,2
51,729,KAMUNASEO,3
51,730,AMFAR,4
51,731,SUNGKIN,5
51,732,PUT,6
51,733,NONU,7
51,734,LIF,8
51,735,TEFA,9
51,736,NATONG,10
51,737,BALANGIT,14
51,738,BALANKOLEN,12
51,739,KAMGOT,13
51,740,BASAKALA,11
247,741,NONOU,15
247,742,MARAORO,13
247,743,ALOKE,16
248,744,MAOPA 1,17
248,745,WAIORI,7
248,746,UPULIMA,9
248,747,BUKUKU,8
248,748,PARAMANA,19
248,749,LALAURA,1
248,750,KUPIANO TOWN,5
248,751,KELERAKWA,10
248,752,KELEKAPANA,12
248,754,KAPARI,3
